smiles,mol,tpsa,mol_w,qed,HBA,HBD,logP,MR
CC(C)C[C@H](NC(=O)CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O,<rdkit.Chem.rdchem.Mol object at 0x0000029142AF8F30>,541.9799999999999,1392.7336255000023,0.01692858019740483,18,15,-4.477529999999998,360.7795000000008
Cl\C=C/C[N+]12CN3CN(CN(C3)C1)C2,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8270>,9.72,215.10580061208998,0.6118376030598358,3,0,0.24750000000000005,54.83940000000003
C(C(N1CCCCC1)c1ccccc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433D81B0>,3.24,265.18304973600027,0.7888038277199716,1,0,4.456300000000004,84.75300000000006
CC(C)NCC(O)COc1cc(C)ccc1Cl,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8510>,41.489999999999995,257.11825656,0.8223281327741205,3,2,2.38612,70.82950000000004
CN1CCN(CC1)C(C)=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D85D0>,23.55,142.110613068,0.4666289094115502,2,0,-0.2197,39.75100000000001
Brc1ccc2[nH]c-3c(CC(=O)Nc4cccnc-34)c2c1,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8450>,57.78,327.0007240400003,0.663652306602305,2,2,3.487000000000001,81.5634
OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D84B0>,92.95,163.084457896,0.28455326707727985,5,5,-2.9667999999999988,36.896899999999995
CCn1c2ccccc2[nH]c1=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8570>,37.79,162.07931294,0.6748679736903339,2,1,1.3494999999999997,48.232700000000015
CCn1c2ccccc2[nH]c1=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8690>,37.79,162.07931294,0.6748679736903339,2,1,1.3494999999999997,48.232700000000015
CCN1CCCC1=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D83F0>,20.310000000000002,113.084063972,0.48807389852338806,1,0,0.6287,31.487999999999985
CCCCCCCCCCCCCCCC=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8390>,17.07,240.245315644,0.282397391847312,1,0,5.666600000000005,76.37600000000006
CCCCCCCCCCCCCCCCO,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8330>,20.23,242.260965708,0.4009684425805356,1,1,5.460000000000006,77.39780000000006
CCCCCCCCCCCCCCCCO,<rdkit.Chem.rdchem.Mol object at 0x00000291433D82D0>,20.23,242.260965708,0.4009684425805356,1,1,5.460000000000006,77.39780000000006
CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc12,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8210>,69.62,317.16404560800055,0.576208338553045,5,1,3.9837000000000025,97.67340000000004
CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc12,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8750>,69.62,317.16404560800055,0.576208338553045,5,1,3.9837000000000025,97.67340000000004
CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,<rdkit.Chem.rdchem.Mol object at 0x00000291433D86F0>,20.23,410.4487664760016,0.14054875541054768,1,1,10.141199999999994,132.8018000000001
CCCCCCCCO,<rdkit.Chem.rdchem.Mol object at 0x00000291433D87B0>,20.23,130.135765196,0.5470483699238978,1,1,2.3392000000000013,40.461800000000004
CCCCCCCCO,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8810>,20.23,130.135765196,0.5470483699238978,1,1,2.3392000000000013,40.461800000000004
NC(=N)NC(=N)Nc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8870>,97.78,177.10144535199998,0.31920730105930023,2,5,0.5163399999999999,52.84120000000001
CCNCCCNCCCCNCCCNCC,<rdkit.Chem.rdchem.Mol object at 0x00000291433D88D0>,48.12,258.27834708800003,0.33034886663876734,4,4,0.9450000000000014,81.29480000000005
BrC1C(Br)C(Br)C(Br)C(Br)C1Br,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8930>,0.0,551.5569727920002,0.38296815683753394,0,0,4.581000000000001,76.29000000000002
CCCn1c2[nH]c(nc2c(=O)n(CCC)c1=O)-c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8990>,72.68,312.15862588000056,0.7858598694807492,5,1,2.3733000000000004,90.63170000000004
OCCCCO,<rdkit.Chem.rdchem.Mol object at 0x00000291433D89F0>,40.46,90.06807956,0.4690628122836084,2,2,-0.24880000000000008,23.405599999999993
O[C@@H]1C[C@@](C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)(OC(=O)\C=C\c1ccc(O)c(O)c1)C(O)=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8A50>,211.27999999999997,516.1267762080005,0.15620953074410895,12,7,1.0295999999999996,125.19760000000002
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8AB0>,159.82,544.2308473520009,0.3203055482454224,10,4,1.0817999999999988,135.1717
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8B10>,159.82,544.2308473520009,0.3203055482454224,10,4,1.0817999999999988,135.1717
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8B70>,159.82,544.2308473520009,0.3203055482454224,10,4,1.0817999999999988,135.1717
CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc12,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8BD0>,15.71,344.16554110000067,0.5984951375617662,3,0,5.705800000000005,101.99600000000005
CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc12,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8C30>,15.71,344.16554110000067,0.5984951375617662,3,0,5.705800000000005,101.99600000000005
CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)cc4cc3Cn1c2=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8C90>,101.65,364.10592161200043,0.4994327453615445,7,2,1.7851999999999992,96.18960000000003
CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)cc4cc3Cn1c2=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8CF0>,101.65,364.10592161200043,0.4994327453615445,7,2,1.7851999999999992,96.18960000000003
CCc1ccc(cc1)\C=C1\SC(=S)NC1=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8D50>,29.1,249.028205972,0.6452512207745754,3,1,2.737800000000001,72.12870000000002
CCc1ccc(cc1)\C=C1\SC(=S)NC1=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8DB0>,29.1,249.028205972,0.6452512207745754,3,1,2.737800000000001,72.12870000000002
CCc1ccc(cc1)\C=C1\SC(=S)NC1=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8E10>,29.1,249.028205972,0.6452512207745754,3,1,2.737800000000001,72.12870000000002
CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@@H]3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2[C@@H]2C(C)(C)[C@]12OC(C)=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8E70>,130.36,616.3975187520015,0.12043867486370408,8,3,5.7529000000000075,167.31939999999966
CC(=N)NCc1cccc(CN)c1,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8ED0>,61.900000000000006,177.12659748,0.48011995179563655,2,3,1.23207,54.57380000000002
CCCCC(C)(C)[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8F30>,94.83000000000001,380.25627425200094,0.35263596952411214,5,3,3.8872000000000027,106.30740000000007
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,<rdkit.Chem.rdchem.Mol object at 0x00000291433D8F90>,37.3,302.22458020000084,0.7253305311285855,2,1,4.269300000000004,87.33380000000005
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9030>,37.3,302.22458020000084,0.7253305311285855,2,1,4.269300000000004,87.33380000000005
CCCCCC(=O)O[C@@]1(CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C)C(C)=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9090>,60.440000000000005,428.2926597600011,0.38618366498262774,4,0,5.969600000000007,120.35600000000008
C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC=C2c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433D90F0>,20.23,350.260965708001,0.6501786707433909,1,1,6.083500000000007,107.53580000000005
CCCCCCCCCCCC([N+][O-])c1cc(C)ccc1O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9150>,57.39,305.23547923200084,0.3937217713900739,2,1,5.7648200000000065,92.92980000000006
C[C@@H](N)[C@@H](O)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433D91B0>,46.25,151.099714036,0.6637111557988821,2,2,1.0672000000000001,45.05120000000002
OC(=O)CCC(CCCS)C(O)=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9210>,74.6,206.061279928,0.5481417551244768,5,3,1.262,51.08260000000003
ClC=C1Nc2sc3CCCCc3c2C(=O)N1,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9270>,41.13,254.028061652,0.7475840463177237,3,2,2.8199000000000005,65.98590000000002
C(N1CCN(CC1)c1nc2ccccc2s1)c1ccc2OCOc2c1,<rdkit.Chem.rdchem.Mol object at 0x00000291433D92D0>,37.83,353.1197978480005,0.7218921591755597,6,0,3.3472000000000017,99.67500000000004
Nc1ccccc1S(N)(=O)=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9330>,86.18,172.030648496,0.5805509816764027,3,2,-0.08379999999999999,42.2276
NCCOB(c1ccccc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9390>,35.25,225.132494532,0.7624888329572727,2,1,0.7675999999999994,72.91240000000003
C1CN=C(N1)c1cc2ccccc2o1,<rdkit.Chem.rdchem.Mol object at 0x00000291433D93F0>,37.53,186.07931294,0.7367307669081201,3,1,1.7826,55.620700000000014
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NC3CCCC3)nc(Cl)nc12,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9450>,125.55,369.12038180000064,0.5721213037629662,9,4,0.4456999999999993,89.22110000000002
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NC3CCCC3)nc(Cl)nc12,<rdkit.Chem.rdchem.Mol object at 0x00000291433D94B0>,125.55,369.12038180000064,0.5721213037629662,9,4,0.4456999999999993,89.22110000000002
Nc1nc(Cl)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9510>,139.54000000000002,301.0577815440003,0.5004163603589038,9,4,-1.3266000000000007,67.75480000000002
Clc1cnccn1,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9570>,25.78,113.99847577599999,0.5054176926987127,2,0,1.13,27.041999999999998
CN1CCN(CC1)C1=Cc2ccccc2Oc2ccc(Cl)cc12,<rdkit.Chem.rdchem.Mol object at 0x00000291433D95D0>,15.71,326.11859090800056,0.781153821054191,3,0,4.191200000000004,94.90900000000005
N#Cc1ncccn1,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9630>,49.57,105.03269709599999,0.47789945408529694,3,0,0.3482799999999999,26.746999999999996
CN([N+][O-])C(=O)NC(C=O)C(O)C(O)C(O)CO,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9690>,167.48999999999998,265.09099982000026,0.2328114318216078,7,5,-3.712499999999999,56.75390000000003
OC[C@H]1O[C@H](O)C[C@@H](O)[C@@H]1O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D96F0>,90.15,164.068473484,0.35317279335983426,5,4,-2.1922,34.59619999999999
CCOc1ccccc1C(O)=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9750>,46.53,166.06299418,0.7440366020306661,3,1,1.7834999999999999,44.57030000000002
CCCC(O)C(CC)CO,<rdkit.Chem.rdchem.Mol object at 0x00000291433D97B0>,40.46,146.130679816,0.6108521743033035,2,2,1.1659,41.781600000000005
CCCC(O)C(CC)CO,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9810>,40.46,146.130679816,0.6108521743033035,2,2,1.1659,41.781600000000005
OCC1OC(O)C(F)C(O)C1O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9870>,90.15,182.059051672,0.36778785152667176,5,4,-2.2441999999999998,34.8752
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1C(=O)C(C(=O)\C=C\c2ccc(O)cc2)C(=O)C(O)([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D98D0>,289.0399999999999,612.1690349440008,0.10137124208432274,16,10,-5.656299999999989,136.633
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1C(=O)C(C(=O)\C=C\c2ccc(O)cc2)C(=O)C(O)([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9930>,289.0399999999999,612.1690349440008,0.10137124208432274,16,10,-5.656299999999989,136.633
OCCOC(=O)c1ccccc1O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9990>,66.76,182.0579088,0.6693949761472795,4,2,0.5412999999999999,45.475100000000026
CC(C)(O)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D99F0>,92.47,292.06709149200026,0.6601912167697063,4,2,2.3230000000000004,63.02590000000001
CC(C)(O)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9A50>,92.47,292.06709149200026,0.6601912167697063,4,2,2.3230000000000004,63.02590000000001
NCC(O)(CS(O)(=O)=O)c1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9AB0>,100.62,265.01755654400023,0.6832742537091199,5,3,0.3741000000000005,60.818800000000024
OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=N)N[C@H]12,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9B10>,85.21000000000001,243.104147784,0.5316773457478705,4,4,0.6115700000000002,63.923900000000025
OC(=O)CNC(=O)c1ccccc1I,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9B70>,66.4,304.9548911160002,0.8221065399859238,3,2,1.1055999999999995,59.12800000000001
COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9BD0>,54.12,358.0178257200004,0.8254905520733768,2,2,2.4597000000000007,79.95540000000001
COc1cc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCc2cc1O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9C30>,49.69,302.1881946920007,0.8328091355204419,3,2,3.617800000000003,85.28260000000004
COc1cc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCc2cc1O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9C90>,49.69,302.1881946920007,0.8328091355204419,3,2,3.617800000000003,85.28260000000004
COc1cc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCc2cc1O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9CF0>,49.69,302.1881946920007,0.8328091355204419,3,2,3.617800000000003,85.28260000000004
Cc1[nH]c2ccc(O)cc2c1CCN,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9D50>,62.03999999999999,190.110613068,0.6743463034210923,2,3,1.68312,57.45890000000002
Cc1[nH]c2ccc(O)cc2c1CCN,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9DB0>,62.03999999999999,190.110613068,0.6743463034210923,2,3,1.68312,57.45890000000002
Cc1ccc(cc1O)[N+]([O-])=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9E10>,63.37,153.042593084,0.49199992499635525,3,1,1.6088200000000001,39.49820000000002
Cc1ncc[nH]1,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9E70>,28.68,82.053098192,0.49044689078380066,1,1,0.7181199999999999,23.324699999999993
CCCCCCCCCCC(CO)CCCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9ED0>,20.23,298.32356596400115,0.29022210504006146,1,1,6.8763000000000085,95.79580000000009
CCCCCCCCCCC(CO)CCCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9F30>,20.23,298.32356596400115,0.29022210504006146,1,1,6.8763000000000085,95.79580000000009
CCCCCCCC\C=C/CCCCCCCC(=O)OC(CO)CO,<rdkit.Chem.rdchem.Mol object at 0x00000291433D9F90>,66.76,356.2926597600011,0.20773694051398633,4,2,4.920300000000006,103.50360000000006
OC(=O)CCC(=O)C(O)=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433DA030>,91.66999999999999,146.021523292,0.5216253022295052,5,2,-0.49509999999999993,29.512599999999992
CC(=O)C(O)=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433DA090>,54.37,88.016043988,0.4459283845851701,3,1,-0.3399999999999999,18.3168
COc1ccc2[nH]c(c(CCNC(C)=O)c2c1)-c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433DA0F0>,54.12,308.15247788000056,0.7574576039225358,2,2,3.522100000000002,92.67440000000002
COc1ccc2[nH]c(c(CCNC(C)=O)c2c1)-c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433DA150>,54.12,308.15247788000056,0.7574576039225358,2,2,3.522100000000002,92.67440000000002
